#Charset:UTF-8
え強.wav=,366.5,34.9,577.2,19.4,10.1
い↓.wav=,230.7,24.2,278.5,14.3,7.8
びゃ.wav=,96.4,65.7,239.4,47.2,5.0
むぃ.wav=,549.5,75.5,434.3,28.7,12.8
ぶぉ.wav=,182.6,54.1,378.2,26.8,8.0
ぽ.wav=,142.3,58.2,267.0,34.8,5.0
ん3.wav=,272.2,72.2,351.6,55.4,8.2
つぃ.wav=,144.8,104.0,307.7,83.9,5.2
んっ.wav=,115.8,57.9,591.5,47.6,6.9
ちゃ.wav=,221.6,82.1,256.0,62.7,10.8
つぁ.wav=,181.5,119.2,320.2,84.6,10.0
ぷぇ.wav=,162.6,80.7,476.0,58.3,4.1
むぁ.wav=,153.7,40.0,334.2,23.4,6.2
よ.wav=,122.1,37.4,413.8,24.2,7.3
い↑.wav=,432.8,26.9,398.4,14.5,7.8
ぎょ.wav=,236.5,84.9,437.9,23.6,9.2
ひ.wav=,136.0,127.7,343.6,97.3,8.4
き゜ぇ.wav=,208.5,107.6,365.0,38.0,22.2
うぇ.wav=,153.7,73.9,831.2,37.3,25.4
でぃ.wav=,362.1,34.5,260.4,17.0,6.0
しゃ.wav=,116.3,174.5,364.6,151.0,10.0
え↓.wav=,486.2,82.9,501.9,36.4,20.2
つ.wav=,278.9,129.7,435.0,93.9,3.4
い強.wav=,465.9,27.5,141.7,12.2,3.4
づぁ.wav=,167.0,63.7,249.8,41.8,7.9
ら.wav=,192.2,26.2,438.6,20.0,8.1
ぼ.wav=,112.9,44.6,165.7,25.3,12.6
とぃ.wav=,137.6,99.2,227.2,70.8,6.4
とぇ.wav=,212.9,87.5,220.2,56.0,5.5
ずぁ.wav=,429.7,110.4,358.0,63.4,19.7
ずぃょ.wav=,374.0,78.7,217.9,51.1,4.9
ろ.wav=,471.9,82.7,341.8,28.9,11.9
しょ.wav=,77.5,176.1,155.2,151.3,6.9
づぃぁ.wav=,119.2,74.5,293.4,60.0,8.1
うぃ.wav=,222.5,37.2,449.4,19.1,8.6
く゜ぁ.wav=,309.2,96.1,695.8,30.7,9.4
ん息短.wav=,405.1,26.4,422.7,21.2,8.1
息吸長.wav=,584.2,123.4,1548.1,72.4,42.8
ち.wav=,266.6,132.9,609.0,102.8,10.9
ざ.wav=,285.5,59.4,191.1,35.8,2.8
れ.wav=,252.3,55.6,358.6,43.9,29.7
ぎゃ.wav=,47.9,80.8,290.8,49.1,3.6
びゅ.wav=,402.4,83.5,357.4,40.5,5.2
ん息.wav=,414.4,44.1,963.0,29.2,9.5
ぷぃ.wav=,192.8,71.9,427.4,48.2,3.3
ば.wav=,387.7,42.4,388.1,20.0,8.5
ちゅ.wav=,314.4,96.9,166.8,65.6,5.9
ちょ.wav=,232.2,92.6,316.6,70.3,7.6
つぇ.wav=,241.5,119.2,197.4,69.5,7.6
ぷぁ.wav=,378.3,72.9,395.1,48.4,7.3
あ吸.wav=,517.5,12.7,734.4,7.2,3.3
びょ.wav=,237.0,71.3,389.5,52.7,9.1
むぇ.wav=,259.7,53.2,242.8,21.6,8.8
あn.wav=,603.0,83.9,518.3,11.7,7.0
く゜ぃ.wav=,546.7,121.6,357.4,44.6,11.2
うぁ.wav=,194.6,57.2,271.4,10.8,5.4
き゜.wav=,113.6,134.6,356.8,33.2,19.0
息（吐）.wav=,673.9,133.7,880.9,36.3,15.8
ふ.wav=,361.9,65.7,501.9,41.7,6.0
しゅ.wav=,259.9,198.3,282.9,162.2,10.3
わ.wav=,419.3,57.8,286.9,48.0,9.7
ず.wav=,272.0,191.4,173.6,104.9,10.2
づぇ.wav=,178.0,103.3,309.7,77.0,8.7
ずぃゅ.wav=,315.4,58.9,280.2,35.8,5.1
ぱ.wav=,180.7,37.7,276.8,22.6,3.5
ずぃ.wav=,505.2,66.2,232.5,47.5,16.9
とぅ.wav=,226.7,122.7,261.8,96.6,6.5
てゅ.wav=,336.3,103.2,291.8,80.1,8.5
じょ.wav=,296.5,54.9,393.8,36.1,5.9
ど.wav=,88.6,119.9,311.2,94.4,9.6
みょ.wav=,180.6,39.9,344.8,24.6,8.9
ゆぁ.wav=,256.8,40.8,221.3,31.1,6.7
あ↑.wav=,219.0,48.5,324.1,24.2,10.7
お息.wav=,632.5,31.9,573.7,18.4,8.9
ヴぁ.wav=,104.9,111.4,330.5,65.8,6.7
こ.wav=,379.5,92.7,448.1,41.7,8.8
い.wav=,200.0,207.0,432.1,200.0,201.0
いゃ.wav=,262.2,56.6,495.8,29.7,23.4
ぐぉ.wav=,79.9,131.9,330.2,78.7,26.9
くぉ.wav=,205.0,145.3,406.0,89.9,34.1
こ゜.wav=,128.9,86.0,144.6,33.7,8.4
う息長.wav=,130.7,52.3,847.7,25.5,16.3
